Date,y,,
2021-10-23,152740589.7,,
2021-10-24,181691420.4,,
2021-10-25,149745676.2,,
2021-10-26,156733807.7,,
2021-10-27,152740589.7,,
2021-10-28,170710070.9,,
2021-10-29,154737198.7,,
2021-10-30,140175299.1,,
2021-10-31,159350397,,
2021-11-01,170117315.7,,
2021-11-02,173347391.3,,
2021-11-03,153966937.6,,
2021-11-04,166887240.1,,
2021-11-05,165810548.2,,
2021-11-06,164733856.4,,
2021-11-07,145353402.7,,
2021-11-08,163657164.5,,
2021-11-09,160427088.9,,
2021-11-10,170117315.7,,
2021-11-11,152890245.8,,
2021-11-12,164733856.4,,
2021-11-13,175094161.9,,
2021-11-14,170197841.4,,
2021-11-15,169070703.3,,
2021-11-16,167943565.3,,
2021-11-17,162307875.2,,
2021-11-18,154417909.1,,
2021-11-19,163435013.2,,
2021-11-20,148782218.9,,
2021-11-21,158926461.1,,
2021-11-22,148782218.9,,
2021-11-23,176960669.5,,
2021-11-24,146527942.9,,
2021-11-25,148782218.9,,
2021-11-26,161180737.2,,
2021-11-27,155225116.6,,
2021-11-28,158774565.2,,
2021-11-29,148781760.4,,
2021-11-30,152112695.3,,
2021-12-01,172098304.9,,
2021-12-02,186532356.3,,
2021-12-03,172098304.9,,
2021-12-04,184311733,,
2021-12-05,190973602.9,,
2021-12-06,170987993.3,,
2021-12-07,186532356.3,,
2021-12-08,180980798.1,,
2021-12-09,173208616.6,,
2021-12-10,176161777.1,,
2021-12-11,168385593.5,,
2021-12-12,169588347.8,,
2021-12-13,178007627.5,,
2021-12-14,169588347.8,,
2021-12-15,138316737.6,,
2021-12-16,179210381.7,,
2021-12-17,153952542.7,,
2021-12-18,179210381.7,,
2021-12-19,173196610.5,,
2021-12-20,193643432.6,,
2021-12-21,178007627.5,,
2021-12-22,182818644.4,,
2021-12-23,181615890.2,,
2021-12-24,177149566.8,,
2021-12-25,161682278.5,,
2021-12-26,178574456.9,,
2021-12-27,161682278.5,,
2021-12-28,174954704.4,,
2021-12-29,143583516,,
2021-12-30,179781041,,
2021-12-31,207532476.9,,
2022-01-01,190640298.6,,
2022-01-02,168921783.5,,
2022-01-03,177367872.7,,
2022-01-04,180987625.2,,
2022-01-05,176161288.5,,
2022-01-06,168921783.5,,
2022-01-07,174242949.2,,
2022-01-08,170826076.6,,
2022-01-09,172037609.1,,
2022-01-10,191422128.4,,
2022-01-11,168403011.7,,
2022-01-12,216864310.1,,
2022-01-13,192633660.9,,
2022-01-14,201114388.1,,
2022-01-15,212018180.2,,
2022-01-16,195056725.8,,
2022-01-17,164768414.4,,
2022-01-18,209595115.3,,
2022-01-19,204748985.5,,
2022-01-20,175442615.3,,
2022-01-21,177474949.7,,
2022-01-22,186746029.1,,
2022-01-23,198665988.4,,
2022-01-24,201314868.3,,
2022-01-25,172177190,,
2022-01-26,173501629.9,,
2022-01-27,203963748.1,,
2022-01-28,197341548.5,,
2022-01-29,193368228.7,,
2022-01-30,189394909,,
2022-01-31,203963748.1,,
2022-02-01,202639308.2,,
2022-02-02,194692668.7,,
2022-02-03,172445464.5,,
2022-02-04,157888391.8,,
2022-02-05,206979740.5,,
2022-02-06,180443876.4,,
2022-02-07,204326154.1,,
2022-02-08,185751049.2,,
2022-02-09,195038601.7,,
2022-02-10,188404635.6,,
2022-02-11,248110330,,
2022-02-12,209633327,,
2022-02-13,202999360.9,,
2022-02-14,232188811.5,,
2022-02-15,206979740.5,,
2022-02-16,213256529.5,,
2022-02-17,186294128.9,,
2022-02-18,207147949.3,,
2022-02-19,200196675.8,,
2022-02-20,171001327.3,,
2022-02-21,211318713.4,,
2022-02-22,208538204,,
2022-02-23,183513619.5,,
2022-02-24,186294128.9,,
2022-02-25,173781836.6,,
2022-02-26,189074638.3,,
2022-02-27,214099222.7,,
2022-02-28,225221260.3,,
2022-03-01,189074638.3,,
2022-03-02,204908164.1,,
2022-03-03,190365286.6,,
2022-03-04,168452735.7,,
2022-03-05,179409011.2,,
2022-03-06,202691096.6,,
2022-03-07,202691096.6,,
2022-03-08,188995752.2,,
2022-03-09,198582493.3,,
2022-03-10,188995752.2,,
2022-03-11,213647372.1,,
2022-03-12,206799699.9,,
2022-03-13,209538768.8,,
2022-03-14,190365286.6,,
2022-03-15,212277837.6,,
2022-03-16,217523034.5,,
2022-03-17,195149454.7,,
2022-03-18,211525632.8,,
2022-03-19,210160951.3,,
2022-03-20,208796269.8,,
2022-03-21,203337543.7,,
2022-03-22,197878817.7,,
2022-03-23,195149454.7,,
2022-03-24,212890314.3,,
2022-03-25,219713721.8,,
2022-03-26,178773276.7,,
2022-03-27,216984358.8,,
2022-03-28,206066906.7,,
2022-03-29,184232002.7,,
2022-03-30,194247387.9,,
2022-03-31,200371606.3,,
2022-04-01,191845155,,
2022-04-02,197529455.8,,
2022-04-03,224529885.1,,
2022-04-04,206055907.2,,
2022-04-05,213161283.3,,
2022-04-06,196108380.6,,
2022-04-07,190424079.7,,
2022-04-08,217424508.9,,
2022-04-09,198950531.1,,
2022-04-10,194687305.4,,
